gender,Partner,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn
Female,No,7,Yes,Yes,59.5,Yes
Male,Yes,12,Yes,Yes,80.45,Yes
Female,Yes,21,Yes,No,71.7,No
Male,No,21,No,Yes,36,No
Female,Yes,56,Yes,No,65.2,No
Female,Yes,6,Yes,Yes,48.95,No
Female,No,65,No,Yes,53.5,No
Male,Yes,42,Yes,No,80.45,No
Female,Yes,68,Yes,Yes,109.05,No
Male,Yes,48,Yes,No,26.3,No
Female,No,50,Yes,Yes,106.8,No
Female,No,7,Yes,Yes,64.95,No
Female,Yes,63,Yes,No,19.35,No
Male,No,17,Yes,No,21.1,No
Female,Yes,42,Yes,Yes,77.95,Yes
Male,Yes,4,Yes,No,18.85,No
Female,No,62,Yes,No,26,No
Male,No,2,Yes,Yes,74.7,Yes
Female,Yes,2,Yes,Yes,70.35,No
Male,Yes,48,Yes,Yes,96.9,No
Male,Yes,27,Yes,No,19.55,No
Female,Yes,70,Yes,Yes,80.4,No
Male,No,1,Yes,Yes,88.8,Yes
Male,Yes,46,Yes,Yes,94.65,No
Male,No,30,Yes,Yes,90.25,Yes
Female,No,15,Yes,Yes,64.65,Yes
Male,Yes,69,Yes,No,95.75,No
Male,No,65,Yes,Yes,19.55,No
Male,Yes,72,Yes,Yes,104.1,No
Male,Yes,13,Yes,Yes,89.05,Yes
Male,No,17,Yes,Yes,20.1,No
Male,Yes,51,Yes,Yes,111.55,No
Male,Yes,51,Yes,No,60.5,No
Female,Yes,72,Yes,Yes,90.95,No
Male,Yes,67,Yes,No,87.4,Yes
Male,No,34,Yes,No,19.7,No
Male,Yes,67,No,Yes,50.95,No
Female,Yes,49,Yes,Yes,20.05,No
Male,Yes,53,Yes,Yes,19.4,No
Male,No,27,Yes,No,59.45,No
Female,No,23,Yes,Yes,94.75,Yes
Male,No,69,Yes,Yes,81.5,No
Female,Yes,2,No,No,29.05,No
Female,No,35,Yes,Yes,86.45,Yes
Female,Yes,46,Yes,No,70.6,No
Female,No,54,Yes,Yes,97.2,No
Female,Yes,56,Yes,Yes,98.25,Yes
Female,Yes,9,Yes,Yes,75.75,Yes
Male,No,20,Yes,No,59.2,No
Male,No,11,Yes,Yes,75.9,No
Female,Yes,30,Yes,Yes,90.05,No
Male,Yes,68,Yes,No,70.95,No
Male,Yes,38,Yes,Yes,102.6,No
Female,Yes,17,Yes,Yes,85.35,Yes
Male,No,48,Yes,Yes,106.1,Yes
Female,No,1,Yes,No,43.8,No
Male,Yes,63,No,No,59,No
Female,No,3,Yes,Yes,69.95,No
Female,No,48,Yes,No,24.35,No
Male,No,66,No,No,29.45,No
Female,Yes,68,Yes,Yes,84.4,No
Male,No,17,Yes,Yes,45.05,Yes
Female,Yes,7,Yes,No,20.65,No
Male,Yes,72,Yes,Yes,87.1,No
Female,Yes,29,Yes,No,19.85,No
Male,Yes,37,Yes,Yes,90.35,No
Female,No,34,Yes,Yes,109.8,Yes
Female,No,42,Yes,Yes,84.65,Yes
Female,Yes,59,Yes,No,65.5,No
Male,Yes,11,Yes,Yes,79.5,Yes
Male,Yes,60,Yes,Yes,80.95,No
Female,No,27,Yes,Yes,56.15,No
Female,No,1,Yes,No,85.8,Yes
Male,No,1,Yes,Yes,79.1,Yes
Male,Yes,17,No,No,34.4,No
Male,Yes,58,Yes,No,20.75,No
Male,Yes,1,Yes,No,18.8,No
Female,Yes,3,Yes,No,44.3,Yes
Female,No,53,Yes,No,90.8,No
Male,No,35,Yes,Yes,25.6,No
Male,Yes,50,Yes,No,105.95,Yes
Male,Yes,68,Yes,No,70.8,No
Male,Yes,47,Yes,No,25.4,No
Female,Yes,65,Yes,Yes,108.8,No
Male,No,5,Yes,Yes,69.75,Yes
Male,Yes,51,Yes,Yes,94.65,Yes
Female,No,46,Yes,No,96.05,Yes
Female,No,9,Yes,Yes,76.85,No
Female,No,8,Yes,No,20.25,No
Male,No,14,Yes,Yes,24.8,No
Female,No,45,Yes,Yes,115.65,No
Female,No,8,Yes,Yes,74.6,No
Male,No,1,Yes,Yes,50.15,Yes
Male,Yes,66,Yes,Yes,103.15,No
Male,Yes,72,Yes,No,72.1,No
Female,Yes,41,Yes,Yes,113.6,Yes
Female,Yes,23,Yes,No,25.1,No
Female,No,29,Yes,Yes,78.9,Yes
Female,No,4,Yes,Yes,80.15,No
Male,Yes,6,Yes,No,25.4,No
Female,Yes,67,Yes,Yes,105.4,No
Male,No,7,Yes,Yes,45.75,No
Male,Yes,56,Yes,Yes,24.45,No
Female,Yes,72,Yes,No,25,No
Male,Yes,72,Yes,Yes,85.25,No
Male,Yes,23,Yes,No,19.6,No
Female,No,35,Yes,No,50.15,No
Male,Yes,27,Yes,Yes,70.55,No
Female,Yes,26,Yes,Yes,60.05,Yes
Male,Yes,12,Yes,No,26.4,No
Female,No,40,Yes,No,20.15,No
Male,Yes,7,No,No,58.85,No
Male,Yes,70,Yes,Yes,97.55,No
Male,Yes,60,Yes,No,19.65,No
Male,Yes,39,No,Yes,25.25,No
Male,Yes,72,Yes,No,114.45,No
Female,No,1,No,Yes,34.7,Yes
Male,Yes,54,Yes,Yes,70.7,No
Male,No,3,Yes,Yes,85.3,Yes
Female,Yes,63,Yes,No,75.55,No
Male,Yes,71,Yes,Yes,84.8,No
Female,No,42,Yes,Yes,20.65,No
Male,No,47,Yes,No,20.45,No
Female,Yes,66,Yes,Yes,102.45,Yes
Female,Yes,21,Yes,Yes,104.4,Yes
Male,No,11,No,Yes,35.65,No
Male,No,1,Yes,Yes,99.75,Yes
Female,Yes,55,Yes,No,90.45,No
Male,No,69,Yes,Yes,97.65,No
Female,No,3,Yes,No,73.85,No
Male,No,4,Yes,Yes,74.4,Yes
Male,No,30,Yes,Yes,69.1,No
Female,No,5,Yes,Yes,82.75,No
Female,Yes,71,Yes,Yes,24.4,No
Female,No,29,Yes,Yes,55.25,No
Male,Yes,52,Yes,No,61.35,No
Male,No,68,Yes,No,76.75,No
Female,Yes,46,Yes,No,19.4,No
Male,No,8,Yes,Yes,54.75,No
Male,Yes,72,Yes,No,19.7,No
Female,No,17,Yes,No,19.9,No
Male,No,3,Yes,Yes,107.95,No
Female,No,2,Yes,Yes,83.8,No
Female,No,9,Yes,Yes,74.25,Yes
Female,No,51,No,Yes,56.4,No
Female,Yes,6,Yes,No,20.1,No
Female,Yes,3,Yes,No,94.9,No
Female,No,17,Yes,Yes,94.2,No
Male,Yes,30,Yes,No,49.9,No
Male,No,31,Yes,Yes,71.05,No
Female,No,45,Yes,No,81.65,No
Male,Yes,64,Yes,No,89.45,No
Male,No,1,Yes,Yes,59.85,Yes
Female,No,1,Yes,Yes,69.6,Yes
Male,Yes,61,Yes,No,99,No
Male,No,1,Yes,No,19.05,No
Male,No,9,No,Yes,45.4,Yes
Male,Yes,72,Yes,No,114.45,No
Female,No,1,Yes,No,19.5,Yes
Female,Yes,7,Yes,Yes,44.25,No
Female,Yes,66,Yes,Yes,90.55,No
Male,No,1,Yes,Yes,69.9,Yes
Male,Yes,40,Yes,Yes,20.4,No
Male,No,16,Yes,Yes,71.4,No
Female,No,2,Yes,Yes,87.15,Yes
Male,Yes,67,Yes,No,24.85,No
Female,Yes,41,Yes,Yes,104.45,No
Female,Yes,56,Yes,Yes,19.8,No
Female,No,72,Yes,Yes,116.45,No
Female,Yes,3,Yes,Yes,84.75,Yes
Female,Yes,54,Yes,No,20.05,No
Male,No,52,Yes,Yes,110.75,No
Female,No,50,Yes,Yes,89.7,No
Male,No,14,Yes,Yes,89.95,Yes
Male,Yes,27,Yes,No,48.7,No
Female,Yes,72,Yes,Yes,96.6,No
Male,No,62,Yes,Yes,74.3,No
Female,No,12,Yes,Yes,54.3,No
Female,No,44,Yes,No,74.85,No
Male,Yes,54,Yes,Yes,79.95,No
Female,No,68,Yes,No,20.05,No
Male,No,20,Yes,No,19.4,No
Male,Yes,50,Yes,No,54.9,No
Male,No,58,Yes,Yes,24.45,No
Male,Yes,35,Yes,Yes,89.65,No
Female,No,2,Yes,Yes,45.4,No
Male,Yes,63,Yes,No,75.7,No
Female,Yes,58,Yes,Yes,110.65,No
Female,Yes,27,Yes,Yes,20.55,No
Female,Yes,71,Yes,Yes,115.15,No
Female,No,63,Yes,No,58.55,No
Male,Yes,71,Yes,Yes,93.25,No
Female,No,41,Yes,Yes,113.2,Yes
Male,No,13,Yes,Yes,90.5,Yes
Male,No,2,Yes,No,79,Yes
Female,Yes,68,Yes,Yes,19.35,No
Male,Yes,1,Yes,Yes,48.75,No
Male,No,65,Yes,Yes,109.05,No
Male,Yes,72,Yes,Yes,25,No
Female,No,28,Yes,Yes,54.9,No
Male,Yes,72,Yes,No,24.75,No
Female,No,2,Yes,Yes,91.15,No
Female,No,18,Yes,No,20.15,Yes
Male,Yes,60,Yes,Yes,104.35,No
Female,No,26,Yes,Yes,66.05,No
Male,No,1,Yes,Yes,71.65,Yes
Female,No,4,Yes,No,20.35,Yes
Male,Yes,68,Yes,Yes,92.2,No
Female,No,38,Yes,Yes,84.25,Yes
Female,Yes,42,Yes,Yes,105.2,No
Female,Yes,57,Yes,Yes,19.6,No
Male,Yes,54,No,No,30.4,No
Female,No,12,Yes,No,78.1,Yes
Female,Yes,44,Yes,Yes,61.5,No
Male,Yes,42,Yes,Yes,69.4,No
Male,Yes,72,Yes,No,24.75,No
Female,Yes,71,Yes,No,91.05,No
Female,Yes,19,Yes,No,89.65,Yes
Female,Yes,23,Yes,Yes,73.65,No
Female,No,30,Yes,No,19.4,No
Male,No,35,Yes,No,26.2,No
Female,No,10,Yes,Yes,98.7,Yes
Male,No,1,Yes,Yes,43.85,No
Male,No,22,Yes,Yes,69.7,No
Male,Yes,7,No,No,38.55,No
Female,No,36,No,Yes,53.1,No
Female,Yes,34,Yes,No,20.65,No
Male,Yes,72,Yes,No,64.45,No
Male,Yes,36,Yes,No,25.1,No
Female,No,1,Yes,No,76.35,Yes
Female,No,23,Yes,Yes,79.15,Yes
Male,Yes,32,Yes,Yes,85,Yes
Female,Yes,71,Yes,Yes,95.15,No
Female,No,23,Yes,Yes,79.35,No
Male,Yes,17,Yes,Yes,96.65,No
Male,No,1,Yes,Yes,75.5,No
Male,Yes,12,Yes,No,19.7,No
Female,Yes,72,Yes,No,20.5,No
Male,No,1,Yes,No,19.2,No
Male,Yes,72,Yes,No,98.35,No
Male,Yes,60,Yes,No,74.35,No
Female,Yes,61,No,No,51.35,No
Female,Yes,6,Yes,No,45.65,No
Male,Yes,32,Yes,No,85.3,Yes
Female,No,31,Yes,Yes,86.55,Yes
Male,No,19,Yes,Yes,73.85,Yes
Male,Yes,72,Yes,No,20.3,No
Female,No,32,Yes,Yes,54.2,No
Male,Yes,65,Yes,Yes,90.65,No
Female,Yes,45,No,Yes,50.9,No
Male,No,42,Yes,No,25.05,No
Male,No,8,Yes,Yes,74.85,No
Male,No,32,Yes,No,20.5,No
Female,Yes,22,Yes,Yes,63.55,No
Male,Yes,57,No,Yes,44.85,Yes
Male,No,1,Yes,No,47.95,No
Male,No,1,Yes,No,45.1,Yes
Female,Yes,1,Yes,Yes,45,No
Male,No,24,Yes,Yes,96,Yes
Male,No,1,Yes,No,20.05,Yes
Male,No,54,Yes,Yes,90.05,No
Female,No,4,Yes,Yes,25.3,No
Male,Yes,65,Yes,No,108.65,Yes
Female,Yes,56,Yes,No,24.3,No
Male,No,45,Yes,Yes,75.95,No
Female,Yes,71,Yes,No,19.7,No
Male,Yes,59,Yes,No,66.4,No
Male,No,69,No,Yes,35.75,No
Male,No,19,Yes,No,18.8,No
Female,Yes,55,Yes,No,19.4,No
Female,No,38,Yes,No,19.3,No
Male,No,10,Yes,Yes,45.55,Yes
Female,Yes,47,Yes,Yes,67.45,No
Female,Yes,2,No,Yes,35.1,Yes
Male,No,1,Yes,No,46.2,Yes
Female,No,1,Yes,No,45.15,Yes
Male,No,1,No,Yes,43.3,Yes
Male,Yes,46,Yes,Yes,20.1,No
Female,No,38,Yes,Yes,57.15,Yes
Female,Yes,65,Yes,No,58.9,No
Female,Yes,19,Yes,Yes,73.2,Yes
Male,No,52,Yes,Yes,85.35,Yes
Male,Yes,71,Yes,No,19.45,No
Female,No,1,Yes,No,45.95,Yes
Female,No,52,No,Yes,50.5,No
Male,Yes,6,Yes,No,25.1,No
Female,Yes,26,Yes,No,60.7,No
Male,No,48,Yes,Yes,99,No
Female,Yes,64,Yes,Yes,104.4,No
Female,No,3,Yes,No,83.75,Yes
Male,No,1,Yes,Yes,44.05,No
Male,Yes,72,Yes,No,24.1,No
Male,No,1,Yes,Yes,45.55,No
Female,Yes,51,Yes,Yes,93.8,No
Female,Yes,41,Yes,No,19.7,No
Female,Yes,72,Yes,Yes,70.65,No
Female,Yes,43,Yes,No,86.45,No
Male,Yes,72,Yes,Yes,114.1,No
Male,Yes,47,Yes,Yes,95.2,No
Male,No,72,Yes,No,88.55,No
Male,No,3,Yes,Yes,20.75,No
Male,No,1,Yes,Yes,70.05,Yes
Male,No,2,Yes,Yes,86,Yes
Male,No,26,No,Yes,44.65,No
Male,Yes,29,Yes,Yes,60.2,No
Female,Yes,35,Yes,Yes,100.5,Yes
Male,No,27,Yes,No,55.45,No
Male,Yes,24,Yes,Yes,70.3,No
Male,Yes,67,Yes,Yes,60.4,No
Female,No,16,Yes,No,72.65,Yes
Female,No,23,Yes,No,55.8,No
Male,No,14,No,Yes,31.1,No
Female,Yes,1,Yes,Yes,21,Yes
Female,No,1,Yes,No,45.1,Yes
Male,No,4,No,Yes,50.95,No
Male,No,16,Yes,Yes,69.1,No
Female,Yes,46,No,Yes,43.95,No
Male,No,68,Yes,Yes,86.5,No
Male,No,38,Yes,No,69.95,No
Male,Yes,30,Yes,Yes,50.4,Yes
Female,No,5,Yes,No,78.95,Yes
Male,No,17,Yes,Yes,90.95,No
Male,Yes,4,Yes,No,19.9,No
Female,No,12,Yes,No,20.15,No
Male,Yes,72,Yes,Yes,90.6,No
Male,No,3,Yes,Yes,92,No
Male,No,56,Yes,Yes,94.45,Yes
Female,No,41,Yes,Yes,24.85,No
Male,No,40,No,No,36,No
Female,No,7,Yes,Yes,78.5,No
Male,No,69,Yes,No,19.95,No
Male,Yes,7,Yes,No,20.65,No
Female,Yes,5,No,Yes,30.5,No
Female,Yes,72,Yes,No,106.1,No
Male,Yes,44,Yes,Yes,20.5,No
Female,No,65,Yes,Yes,95.5,No
Female,No,3,Yes,No,64.6,No
Male,No,24,Yes,Yes,51.1,No
Female,No,44,Yes,Yes,84.8,Yes
Female,Yes,72,Yes,No,89.1,No
Male,No,24,Yes,No,54.95,No
Male,No,1,Yes,No,50.9,Yes
Male,Yes,22,Yes,Yes,20.45,No
Male,Yes,70,Yes,Yes,85.95,No
Male,Yes,25,Yes,No,60.35,No
Male,Yes,37,Yes,No,19.8,No
Female,Yes,22,Yes,No,85.35,No
Female,Yes,59,Yes,Yes,72.1,No
Male,Yes,49,Yes,Yes,99.8,Yes
Male,Yes,47,Yes,Yes,107.35,Yes
Female,Yes,31,Yes,Yes,19.55,Yes
Male,Yes,1,Yes,Yes,81.05,No
Male,No,3,Yes,Yes,20.5,No
Female,Yes,53,Yes,Yes,111.8,No
Male,No,1,Yes,No,20.2,No
Male,No,20,Yes,Yes,19.7,No
Female,No,3,Yes,Yes,79.1,Yes
Female,No,51,Yes,Yes,19.85,No
Female,Yes,51,Yes,Yes,60.5,No
Female,Yes,13,Yes,No,19.55,No
Female,No,1,Yes,No,20.9,No
Male,No,1,Yes,Yes,21.05,No
Male,No,63,Yes,No,71.5,No
Male,No,3,Yes,No,54.65,No
Male,No,46,Yes,No,19.2,No
Male,No,1,Yes,Yes,49.8,No
Male,No,8,No,No,25.5,Yes
Female,Yes,71,Yes,No,20.5,No
Male,Yes,55,Yes,Yes,90.4,No
Female,No,70,Yes,Yes,90.25,No
Female,No,2,Yes,No,80.75,Yes
Male,Yes,67,Yes,No,104.6,No
Male,Yes,65,Yes,Yes,91.85,Yes
Male,Yes,14,Yes,No,50.2,No
Female,Yes,20,Yes,Yes,95.5,No
Male,No,1,Yes,Yes,75.35,Yes
Male,No,1,Yes,Yes,75.45,Yes
Female,Yes,49,Yes,Yes,95.4,No
Female,No,72,Yes,Yes,101.3,No
Female,Yes,46,Yes,No,53.1,No
Male,No,24,Yes,Yes,84.85,No
Female,Yes,5,No,No,34.25,No
Female,Yes,33,Yes,No,88.6,No
Female,No,42,Yes,Yes,60.15,No
Male,No,23,Yes,Yes,99.95,No
Male,No,8,Yes,No,70.7,No
Male,No,66,Yes,Yes,54.8,No
Male,No,24,Yes,Yes,49.55,Yes
Male,No,24,Yes,No,54.8,No
Male,No,69,Yes,Yes,78.6,Yes
Female,No,53,Yes,Yes,100.3,No
Female,No,60,No,No,53.6,No
Female,Yes,7,Yes,Yes,81.1,Yes
Female,No,20,Yes,Yes,19.35,No
Female,Yes,23,Yes,No,85.6,No
Male,Yes,72,Yes,Yes,80.8,No
Male,Yes,11,Yes,Yes,74.95,Yes
Male,No,21,Yes,No,19.6,No
Male,No,1,Yes,Yes,93.55,Yes
Male,No,31,Yes,Yes,90.7,No
Female,No,57,Yes,No,69.75,No
Female,Yes,45,Yes,Yes,20,No
Male,No,10,Yes,Yes,95.25,No
Female,Yes,58,Yes,Yes,102.1,Yes
Male,No,14,Yes,No,19.95,No
Male,Yes,27,Yes,No,80.85,No
Female,Yes,14,Yes,Yes,90.9,Yes
Female,Yes,12,No,No,29.2,Yes
Female,Yes,69,Yes,Yes,93.3,No
Female,Yes,25,Yes,Yes,89.15,Yes
Male,Yes,58,Yes,Yes,108.85,Yes
Female,Yes,35,No,Yes,46.35,No
Female,No,16,Yes,Yes,84.75,Yes
Male,Yes,45,Yes,No,78.75,No
Female,No,17,Yes,Yes,83.55,No
Female,Yes,1,Yes,Yes,45.7,Yes
Male,No,22,Yes,No,19.6,No
Female,No,1,Yes,Yes,69.95,Yes
Male,Yes,67,Yes,No,67.85,No
Female,Yes,67,Yes,Yes,105.65,No
Female,Yes,2,No,No,44.6,Yes
Male,No,23,Yes,Yes,74.95,Yes
Female,No,9,Yes,No,75.5,No
Female,No,5,Yes,No,20.15,No
Male,No,54,No,No,45.2,No
Female,No,57,Yes,Yes,95.25,Yes
Male,No,24,Yes,Yes,89.85,Yes
Female,Yes,49,Yes,No,100.45,Yes
Male,No,5,Yes,No,47.15,Yes
Male,No,2,Yes,Yes,80.2,Yes
Female,No,4,Yes,Yes,87.1,Yes
Male,Yes,70,Yes,Yes,79.25,No
Male,No,5,Yes,Yes,75.9,Yes
Male,Yes,53,Yes,No,85.7,No
Female,Yes,47,Yes,Yes,98.75,Yes
Female,No,31,Yes,No,20.1,No
Male,Yes,13,Yes,No,61.8,No
Female,Yes,28,Yes,No,49.9,No
Female,No,10,Yes,No,86.45,Yes
Male,Yes,38,Yes,No,20.4,No
Female,No,1,Yes,Yes,45.3,Yes
Male,Yes,67,Yes,No,104.1,Yes
Male,Yes,52,Yes,Yes,75.4,No
Male,Yes,62,Yes,No,108.15,No
Female,No,16,Yes,Yes,86.25,No
Female,Yes,5,Yes,Yes,81,Yes
Male,No,12,Yes,No,95.7,No
Female,Yes,72,Yes,Yes,116.85,No
Male,No,71,Yes,No,105.75,No
Female,Yes,24,Yes,No,20.15,No
Female,No,15,Yes,No,19.6,No
Male,Yes,67,Yes,Yes,90.6,Yes
Male,No,2,Yes,No,60.95,No
Female,Yes,5,No,No,25.05,No
Female,Yes,15,Yes,No,88.15,Yes
Male,No,1,Yes,Yes,20.2,Yes
Male,Yes,41,Yes,Yes,60.3,No
Female,No,43,Yes,Yes,63.95,No
Male,Yes,1,Yes,No,74.3,No
Female,No,1,Yes,Yes,70.6,No
Female,Yes,26,Yes,Yes,90.8,Yes
Male,No,22,Yes,Yes,79.35,Yes
Male,Yes,71,Yes,No,90.55,No
Male,No,7,Yes,No,19.45,No
Female,No,28,Yes,No,64.45,No
Male,No,16,Yes,No,69.65,No
Male,No,7,Yes,No,19.5,No
Female,No,69,Yes,Yes,110.5,No
Female,No,1,No,No,24.7,No
Male,No,3,Yes,Yes,77.4,No
Male,No,21,Yes,Yes,96.8,Yes
Female,Yes,69,Yes,Yes,85.4,No
Female,Yes,71,No,Yes,47.6,No
Female,Yes,69,Yes,No,19.4,No
Female,No,48,Yes,Yes,103.85,No
Male,Yes,47,Yes,Yes,83.35,Yes
Female,No,2,Yes,Yes,49.4,Yes
Male,No,45,Yes,Yes,108.45,No
Male,No,51,Yes,No,81,No
Female,Yes,22,Yes,Yes,79.2,Yes
Male,No,72,Yes,No,86.65,No
Male,Yes,37,Yes,Yes,92.95,No
Male,Yes,71,Yes,No,90.35,No
Male,Yes,7,Yes,No,48.7,Yes
Female,No,66,Yes,Yes,25.15,No
Male,Yes,51,Yes,Yes,76.4,No
Female,Yes,30,Yes,No,19.55,No
Female,No,34,Yes,No,85.35,No
Male,Yes,64,Yes,Yes,24.8,No
Male,Yes,65,Yes,Yes,103.15,No
Male,No,47,Yes,No,100.75,No
Female,No,1,Yes,Yes,95.6,Yes
Female,No,49,Yes,Yes,59.75,Yes
Female,Yes,67,Yes,No,94.1,No
Male,No,39,Yes,No,19.35,No
Male,No,14,Yes,No,19.9,No
Female,No,43,Yes,Yes,108.15,Yes
Male,No,56,Yes,Yes,101.05,No
Female,No,14,Yes,No,59.1,No
Female,No,1,Yes,No,71.35,Yes
Male,Yes,16,Yes,Yes,55.85,No
Male,Yes,70,Yes,Yes,106.05,No
Male,Yes,72,Yes,Yes,84.1,No
Female,Yes,23,Yes,Yes,75.3,No
Male,No,21,Yes,No,24.7,No
Female,No,1,Yes,Yes,20.15,Yes
Male,No,1,Yes,No,69.75,Yes
Female,Yes,32,Yes,Yes,93.2,Yes
Male,Yes,17,Yes,No,80.85,Yes
Female,No,4,No,Yes,33.65,Yes
Female,No,36,Yes,No,55.8,No
Female,No,50,No,No,39.7,No
Female,Yes,48,No,Yes,29.5,No
Female,No,50,Yes,No,20.15,No
Male,Yes,72,Yes,No,79.55,No
Male,No,10,Yes,No,24.8,No
Female,No,18,Yes,No,19.65,No
Male,No,1,Yes,Yes,79.95,Yes
Female,No,1,Yes,No,19.3,Yes
Male,No,9,Yes,Yes,94.05,No
Male,No,2,Yes,No,90.75,No
Female,Yes,40,Yes,Yes,78.85,No
Male,Yes,69,Yes,No,99.5,No
Female,Yes,37,Yes,Yes,99.2,Yes
Male,No,18,Yes,Yes,80.55,No
Male,Yes,11,Yes,Yes,70.2,No
Female,Yes,8,Yes,Yes,85.2,Yes
Female,No,3,Yes,No,75.25,Yes
Male,Yes,55,Yes,No,59.45,No
Male,Yes,33,Yes,Yes,93.35,No
Female,No,46,Yes,No,44.95,No
Male,No,34,Yes,No,26.1,No
Female,No,3,Yes,No,20.2,No
Male,Yes,30,Yes,No,21.25,No
Female,No,33,Yes,No,59.4,No
Male,Yes,45,Yes,Yes,95,No
Male,No,40,Yes,Yes,61.9,No
Female,No,71,Yes,Yes,118.65,No
Male,No,1,Yes,No,54.35,Yes
Female,Yes,72,No,No,64.45,No
Female,Yes,22,Yes,Yes,80.15,No
Male,Yes,46,Yes,Yes,20.2,No
Female,Yes,55,Yes,No,21,No
Male,No,1,Yes,No,20.45,No
Female,No,12,Yes,Yes,75.85,No
Male,No,31,Yes,Yes,80.45,No
Male,Yes,5,No,Yes,24.95,Yes
Female,Yes,67,Yes,Yes,75.5,No
Male,No,1,Yes,No,44.45,No
Male,Yes,40,No,Yes,42.35,Yes
Male,Yes,41,Yes,Yes,74.55,No
Male,No,1,Yes,Yes,75.3,Yes
Male,No,51,Yes,Yes,94.8,Yes
Male,Yes,42,No,No,48.15,No
Male,Yes,23,Yes,No,19.65,No
Female,No,1,Yes,Yes,70.55,Yes
Female,No,1,Yes,No,20.15,No
Female,No,56,Yes,Yes,106.6,No
Male,No,15,Yes,Yes,91,No
Male,Yes,12,Yes,Yes,25.4,No
Female,Yes,54,Yes,No,69.95,No
Female,No,7,Yes,Yes,66.85,No
Female,Yes,33,Yes,No,86.15,Yes
Male,Yes,16,Yes,No,20.15,No
Female,No,21,Yes,No,64.85,No
Male,Yes,30,Yes,No,74.85,No
Male,No,3,Yes,Yes,50.5,No
Male,No,11,Yes,No,72.9,No
Female,No,62,Yes,Yes,115.05,No
Male,No,18,Yes,No,19,No
Male,No,6,Yes,No,19.55,No
Female,No,46,Yes,Yes,101.1,No
Male,No,21,Yes,Yes,84.1,No
Male,No,68,Yes,Yes,24.15,No
Female,No,1,Yes,Yes,50.1,No
Female,Yes,25,Yes,Yes,74.6,No
Female,No,24,Yes,No,19.75,No
Female,Yes,30,Yes,Yes,85,Yes
Female,No,2,Yes,No,80.55,Yes
Male,Yes,51,Yes,Yes,106.8,No
Female,Yes,57,Yes,Yes,84.5,No
Female,No,15,Yes,No,25.05,No
Female,Yes,72,Yes,Yes,83.7,No
Female,No,2,Yes,Yes,75.8,Yes
Male,Yes,28,Yes,No,96.6,No
Male,Yes,29,Yes,Yes,98.5,Yes
Male,Yes,70,Yes,Yes,101.1,No
Female,No,13,Yes,No,20.2,No
Female,Yes,59,Yes,Yes,94.05,No
Male,Yes,13,Yes,Yes,95.25,Yes
Male,Yes,7,Yes,Yes,74.4,Yes
Female,Yes,62,Yes,No,81,No
Female,No,21,Yes,Yes,60.25,No
Female,No,2,Yes,No,60.85,No
Female,No,1,Yes,No,43.95,No
Male,No,4,Yes,No,86.05,No
Female,No,19,Yes,No,20.25,No
Female,No,30,Yes,No,85.15,Yes
Male,Yes,67,Yes,Yes,19.4,No
Male,Yes,72,Yes,Yes,102.65,No
Male,Yes,53,Yes,No,19.9,No
Female,No,5,Yes,No,19.55,No
Male,Yes,71,Yes,Yes,95.5,No
Female,Yes,50,Yes,Yes,84.15,No
Male,Yes,56,Yes,Yes,103.2,No
Male,No,2,Yes,Yes,50.2,No
Female,No,2,Yes,Yes,88.55,Yes
Male,Yes,24,Yes,No,54.75,Yes
Male,Yes,46,Yes,No,19.95,No
Male,Yes,71,Yes,Yes,116.25,No
Female,No,29,No,Yes,31.2,No
Male,Yes,69,Yes,No,24.45,No
Male,Yes,71,Yes,No,84.2,No
Female,No,1,Yes,Yes,91.3,Yes
Male,Yes,56,Yes,Yes,85.65,No
Male,No,56,Yes,Yes,21.2,No
Male,No,1,Yes,Yes,79.5,Yes
Female,Yes,28,Yes,No,25.55,No
Female,Yes,19,Yes,No,20.2,No
Male,Yes,66,Yes,No,63.85,No
Female,Yes,17,Yes,Yes,61.95,No
Male,Yes,52,Yes,No,25.75,No
Female,No,19,Yes,No,58.2,No
Female,No,36,Yes,No,85.85,No
Male,Yes,7,Yes,Yes,70.1,Yes
Male,Yes,72,Yes,Yes,104.9,No
Male,Yes,67,Yes,Yes,111.3,Yes
Male,No,34,Yes,Yes,99.85,No
Male,Yes,57,Yes,Yes,95.25,Yes
Female,Yes,7,Yes,Yes,86.25,Yes
Female,Yes,1,Yes,Yes,100.8,Yes
Male,Yes,8,Yes,Yes,19.55,No
Female,No,69,Yes,No,104,No
Female,Yes,50,Yes,Yes,104.4,No
Male,No,10,Yes,No,19.5,No
Female,Yes,12,Yes,No,25.25,No
Female,No,14,Yes,Yes,86.3,Yes
Female,Yes,70,No,Yes,49.85,No
Female,No,64,Yes,Yes,108.95,No
Female,Yes,66,Yes,No,89.9,No
Female,Yes,71,Yes,Yes,82,No
Male,No,20,Yes,No,89.95,No
Male,Yes,72,Yes,Yes,79.35,No
Female,Yes,71,Yes,No,64.05,No
Male,Yes,38,Yes,Yes,101.15,No
Female,No,28,Yes,Yes,89.95,Yes
Male,Yes,17,Yes,Yes,76.45,Yes
Male,No,33,No,Yes,39.1,No
Female,Yes,23,No,No,34.6,No
Male,Yes,58,Yes,Yes,19.55,No
